Date,Sensor ID,Location,Latitude,Longitude,CO2,PM2.5,PM10,O3,NO2,AQI,AQI Level,Temperature,Humidity,Soil Moisture,Soil Moisture Category,pH,Turbidity
2026-03-02,SN-007,Pampanga,15.16475,120.66711,3078.71,199.12,57.71,42.42,117.6,104,Unhealthy for Sensitive Groups,22.18,95.24,13.45,Dry,7.16,36.71
2026-03-02,SN-008,Leyte,11.04576,124.75037,1860.15,203.84,114.69,193.85,59.68,143,Unhealthy for Sensitive Groups,34.36,41.73,5.81,Dry,7.63,81.52
2026-03-02,SN-009,Leyte,10.9368,124.89435,4924.16,176.86,259.71,83.25,79.65,149,Unhealthy for Sensitive Groups,38.96,46.91,58.67,Wet,7.54,90.28
2026-03-02,SN-010,Cebu,10.28412,123.80402,4175.12,229.89,37.4,94.14,74.06,108,Unhealthy for Sensitive Groups,37.97,48.71,43.61,Wet,6.97,39.38
2026-03-02,SN-011,Iloilo,10.63519,122.61273,3892.11,39.95,218.37,30.19,73.44,90,Moderate,35.59,50.21,25.41,Optimal,7.19,84.95
2026-03-02,SN-012,Cebu,10.34147,123.88109,2602.64,97.43,166.35,76.73,77.45,104,Unhealthy for Sensitive Groups,27.49,93.09,33.7,Optimal,6.06,20.48
2026-03-02,SN-013,Leyte,11.04218,124.81838,404.8,2.13,164.54,37.93,87.37,72,Moderate,24.77,68.66,6.54,Dry,7.45,81.35
2026-03-02,SN-014,Iloilo,10.65425,122.63047,4682.54,102.34,128.9,146.25,97.57,118,Unhealthy for Sensitive Groups,23.86,67.07,13.93,Dry,6.15,2.95
2026-03-02,SN-015,Misamis Oriental,8.42668,124.57912,4372.86,46.39,1.09,100.43,24.58,43,Good,26.99,92.14,12.88,Dry,7.68,97.04
2026-03-02,SN-016,Davao del Sur,7.15227,125.47642,1286.85,159.62,231.01,128.55,132.24,162,Unhealthy,28.9,99.44,56.79,Wet,6.15,37.2
2026-03-02,SN-017,Zamboanga del Sur,7.86636,123.42655,1728.52,236.11,220.66,127.51,105.73,172,Unhealthy,26.17,53.57,16.13,Dry,8.0,1.17
2026-03-02,SN-018,Misamis Oriental,8.50377,124.61878,2344.1,162.77,250.26,36.91,66.01,128,Unhealthy for Sensitive Groups,28.81,56.54,53.07,Wet,6.32,98.4
2026-03-02,SN-019,Davao del Sur,7.28627,125.36913,1102.63,156.02,47.55,16.22,98.07,79,Moderate,23.67,57.16,14.21,Dry,6.05,24.43
2026-03-02,SN-020,Davao del Sur,7.27648,125.39227,3939.39,233.3,21.14,136.07,27.13,104,Unhealthy for Sensitive Groups,37.25,91.57,59.77,Wet,7.43,43.17
2026-03-03,SN-001,Batangas,13.77241,121.02809,4743.19,249.38,9.66,163.17,109.87,133,Unhealthy for Sensitive Groups,20.43,63.28,41.55,Wet,6.54,93.07
2026-03-03,SN-002,Metro Manila,14.56538,120.92161,1689.46,213.54,272.58,19.45,31.01,134,Unhealthy for Sensitive Groups,30.6,69.61,38.91,Optimal,7.0,94.8
2026-03-03,SN-003,Pampanga,15.1761,120.59747,2332.47,6.1,246.62,171.11,53.3,119,Unhealthy for Sensitive Groups,27.77,48.69,26.95,Optimal,6.46,54.49
2026-03-03,SN-004,Bulacan,14.84333,120.84052,3523.31,193.38,65.73,48.34,79.58,96,Moderate,21.85,78.48,32.56,Optimal,7.65,33.94
2026-03-03,SN-005,Pampanga,15.16884,120.55406,1864.88,202.08,2.32,16.1,29.62,62,Moderate,37.92,75.71,39.16,Optimal,8.05,49.32
2026-03-03,SN-006,Pampanga,15.15867,120.53867,4061.96,181.81,130.69,34.4,80.87,106,Unhealthy for Sensitive Groups,26.5,43.4,48.97,Wet,6.03,9.25
2026-03-03,SN-007,Pampanga,15.16475,120.66711,2335.55,123.79,286.55,188.23,47.05,161,Unhealthy,21.96,76.02,25.24,Optimal,7.48,86.16
2026-03-03,SN-008,Leyte,11.04576,124.75037,3731.77,82.01,249.36,193.06,52.68,144,Unhealthy for Sensitive Groups,28.98,50.67,10.17,Dry,8.31,63.69
2026-03-03,SN-009,Leyte,10.9368,124.89435,3961.6,2.85,27.22,186.75,125.78,85,Moderate,29.0,43.58,34.31,Optimal,7.72,42.45
2026-03-03,SN-010,Cebu,10.28412,123.80402,3039.06,58.06,56.93,179.07,130.84,106,Unhealthy for Sensitive Groups,21.75,58.77,23.71,Optimal,6.53,81.2
2026-03-03,SN-011,Iloilo,10.63519,122.61273,4173.79,88.36,253.71,150.99,98.27,147,Unhealthy for Sensitive Groups,29.77,93.5,23.71,Optimal,7.35,61.11
2026-03-03,SN-012,Cebu,10.34147,123.88109,4645.86,206.49,89.98,42.14,47.87,96,Moderate,26.97,79.41,37.32,Optimal,7.06,81.02
2026-03-03,SN-013,Leyte,11.04218,124.81838,3358.39,102.5,158.61,91.65,99.17,112,Unhealthy for Sensitive Groups,34.29,43.57,7.65,Dry,8.33,99.64
2026-03-03,SN-014,Iloilo,10.65425,122.63047,3365.32,162.41,271.95,120.79,4.58,139,Unhealthy for Sensitive Groups,37.07,96.35,59.3,Wet,7.74,29.49
2026-03-03,SN-015,Misamis Oriental,8.42668,124.57912,556.42,115.12,208.73,6.75,36.57,91,Moderate,30.49,48.93,48.43,Wet,8.14,27.02
2026-03-03,SN-016,Davao del Sur,7.15227,125.47642,685.08,145.75,146.5,120.35,146.03,139,Unhealthy for Sensitive Groups,34.83,65.94,12.13,Dry,7.42,4.58
2026-03-03,SN-017,Zamboanga del Sur,7.86636,123.42655,4802.51,54.89,56.03,168.88,36.43,79,Moderate,35.0,71.94,40.95,Wet,6.84,23.26
2026-03-03,SN-018,Misamis Oriental,8.50377,124.61878,752.32,170.0,136.71,151.68,80.15,134,Unhealthy for Sensitive Groups,25.7,71.7,49.46,Wet,6.83,83.16
2026-03-03,SN-019,Davao del Sur,7.28627,125.36913,3568.85,220.19,236.57,89.08,105.46,162,Unhealthy,37.26,97.36,19.37,Dry,6.62,72.24
2026-03-03,SN-020,Davao del Sur,7.27648,125.39227,918.58,6.82,77.98,54.16,132.3,67,Moderate,32.76,62.86,6.31,Dry,6.55,91.59
2026-03-04,SN-001,Batangas,13.77241,121.02809,4072.42,119.76,28.85,125.79,149.6,106,Unhealthy for Sensitive Groups,24.0,69.01,33.48,Optimal,6.73,70.81
2026-03-04,SN-002,Metro Manila,14.56538,120.92161,3767.97,118.33,127.32,195.91,64.8,126,Unhealthy for Sensitive Groups,22.8,57.02,26.24,Optimal,7.51,69.91
2026-03-04,SN-003,Pampanga,15.1761,120.59747,4105.18,135.37,232.4,53.45,51.63,118,Unhealthy for Sensitive Groups,38.13,52.44,5.11,Dry,7.37,28.4
2026-03-04,SN-004,Bulacan,14.84333,120.84052,4662.61,142.44,79.32,109.47,58.84,97,Moderate,28.11,45.44,53.07,Wet,7.99,29.5
2026-03-04,SN-005,Pampanga,15.16884,120.55406,1661.91,47.42,72.71,166.62,87.44,93,Moderate,24.37,92.02,43.19,Wet,7.73,71.34
2026-03-04,SN-006,Pampanga,15.15867,120.53867,2004.94,89.21,158.29,130.91,10.15,97,Moderate,35.4,64.73,43.03,Wet,8.24,75.47
2026-03-04,SN-007,Pampanga,15.16475,120.66711,3735.2,110.8,215.84,135.66,124.99,146,Unhealthy for Sensitive Groups,33.52,50.73,14.48,Dry,7.78,60.23
2026-03-04,SN-008,Leyte,11.04576,124.75037,4619.93,227.53,280.14,7.39,46.04,140,Unhealthy for Sensitive Groups,20.85,68.82,45.33,Wet,8.39,21.51
2026-03-04,SN-009,Leyte,10.9368,124.89435,2083.32,82.99,14.54,31.52,103.36,58,Moderate,32.08,67.96,21.99,Optimal,7.66,86.7
2026-03-04,SN-010,Cebu,10.28412,123.80402,1574.93,250.0,97.63,125.98,44.03,129,Unhealthy for Sensitive Groups,31.08,90.57,15.41,Dry,6.82,6.67
2026-03-04,SN-011,Iloilo,10.63519,122.61273,1118.53,115.03,112.34,129.48,146.74,125,Unhealthy for Sensitive Groups,34.96,62.24,24.23,Optimal,8.42,38.67
2026-03-04,SN-012,Cebu,10.34147,123.88109,3410.16,36.45,296.77,111.58,77.33,130,Unhealthy for Sensitive Groups,22.52,76.26,59.53,Wet,7.9,87.15
2026-03-04,SN-013,Leyte,11.04218,124.81838,3957.09,203.47,127.84,71.42,80.69,120,Unhealthy for Sensitive Groups,38.09,93.62,37.58,Optimal,8.25,88.48
2026-03-04,SN-014,Iloilo,10.65425,122.63047,2570.48,146.19,135.91,74.31,22.78,94,Moderate,29.63,50.34,43.91,Wet,7.36,3.82
2026-03-04,SN-015,Misamis Oriental,8.42668,124.57912,4956.51,125.16,292.07,50.22,139.4,151,Unhealthy,35.33,50.91,49.55,Wet,7.42,25.6
2026-03-04,SN-016,Davao del Sur,7.15227,125.47642,4152.74,0.25,110.66,172.22,62.25,86,Moderate,23.26,62.02,5.75,Dry,7.84,36.14
2026-03-04,SN-017,Zamboanga del Sur,7.86636,123.42655,3258.1,212.64,197.35,18.22,60.34,122,Unhealthy for Sensitive Groups,24.71,53.44,35.87,Optimal,7.67,40.73
2026-03-04,SN-018,Misamis Oriental,8.50377,124.61878,972.34,20.29,91.8,164.95,29.76,76,Moderate,20.15,69.54,36.4,Optimal,6.29,69.7
2026-03-04,SN-019,Davao del Sur,7.28627,125.36913,4825.29,130.16,2.19,115.96,62.82,77,Moderate,36.57,99.71,15.34,Dry,8.13,36.33
2026-03-04,SN-020,Davao del Sur,7.27648,125.39227,4252.64,93.58,260.2,16.56,129.0,124,Unhealthy for Sensitive Groups,36.64,43.38,19.02,Dry,6.08,46.28
2026-03-05,SN-001,Batangas,13.77241,121.02809,1532.45,90.81,138.74,182.66,71.35,120,Unhealthy for Sensitive Groups,30.98,68.08,43.2,Wet,7.29,92.12
2026-03-05,SN-002,Metro Manila,14.56538,120.92161,4005.06,92.12,104.66,193.12,114.37,126,Unhealthy for Sensitive Groups,24.56,88.59,36.93,Optimal,7.83,69.78
2026-03-05,SN-003,Pampanga,15.1761,120.59747,1988.68,80.95,289.64,164.43,120.48,163,Unhealthy,31.72,99.14,17.5,Dry,7.75,7.16
2026-03-05,SN-004,Bulacan,14.84333,120.84052,505.93,88.01,158.76,96.02,45.64,97,Moderate,35.41,93.74,6.04,Dry,6.13,28.92
2026-03-05,SN-005,Pampanga,15.16884,120.55406,3630.86,208.51,164.88,195.19,75.92,161,Unhealthy,24.67,47.23,15.57,Dry,6.12,36.03
2026-03-05,SN-006,Pampanga,15.15867,120.53867,4993.31,146.12,280.54,123.61,100.09,162,Unhealthy,29.23,78.42,5.25,Dry,6.49,99.11
2026-03-05,SN-007,Pampanga,15.16475,120.66711,3898.96,144.25,247.76,4.22,48.4,111,Unhealthy for Sensitive Groups,37.79,93.83,27.87,Optimal,7.7,88.54
2026-03-05,SN-008,Leyte,11.04576,124.75037,2195.21,147.04,116.31,93.03,103.65,115,Unhealthy for Sensitive Groups,35.33,40.69,10.77,Dry,7.68,85.73
2026-03-05,SN-009,Leyte,10.9368,124.89435,2027.63,170.14,99.73,27.62,2.67,75,Moderate,36.86,59.61,20.39,Optimal,6.73,5.8
2026-03-05,SN-010,Cebu,10.28412,123.80402,4314.1,193.49,68.87,46.78,55.97,91,Moderate,32.61,95.0,13.66,Dry,6.26,33.59
2026-03-05,SN-011,Iloilo,10.63519,122.61273,4932.32,134.41,98.01,70.07,62.8,91,Moderate,33.49,88.54,21.44,Optimal,6.35,90.62
2026-03-05,SN-012,Cebu,10.34147,123.88109,4410.08,26.94,81.75,37.41,13.69,39,Good,26.62,59.85,14.04,Dry,6.26,63.53
2026-03-05,SN-013,Leyte,11.04218,124.81838,3764.92,78.4,248.03,36.91,95.32,114,Unhealthy for Sensitive Groups,36.62,59.58,44.61,Wet,6.33,87.27
2026-03-05,SN-014,Iloilo,10.65425,122.63047,4161.57,21.34,87.0,153.75,79.55,85,Moderate,32.07,62.18,25.24,Optimal,7.95,15.22
2026-03-05,SN-015,Misamis Oriental,8.42668,124.57912,3125.46,99.44,128.75,154.83,14.41,99,Moderate,21.74,57.64,16.13,Dry,8.19,88.86
2026-03-05,SN-016,Davao del Sur,7.15227,125.47642,1698.32,221.96,215.39,98.37,91.04,156,Unhealthy,29.79,69.48,43.38,Wet,6.14,5.5
2026-03-05,SN-017,Zamboanga del Sur,7.86636,123.42655,1874.65,73.45,269.95,141.77,62.55,136,Unhealthy for Sensitive Groups,35.31,55.67,54.3,Wet,7.52,27.16
2026-03-05,SN-018,Misamis Oriental,8.50377,124.61878,569.47,87.34,99.15,181.97,125.38,123,Unhealthy for Sensitive Groups,26.83,73.77,30.28,Optimal,7.55,58.16
2026-03-05,SN-019,Davao del Sur,7.28627,125.36913,3807.17,55.76,92.22,80.31,73.91,75,Moderate,26.43,97.25,47.3,Wet,7.54,78.21
2026-03-05,SN-020,Davao del Sur,7.27648,125.39227,569.61,175.13,118.28,6.36,90.64,97,Moderate,33.99,75.45,20.46,Optimal,6.89,24.78
2026-03-06,SN-001,Batangas,13.77241,121.02809,1395.4,40.83,86.64,32.0,31.45,47,Good,29.79,46.49,57.15,Wet,6.78,73.75
2026-03-06,SN-002,Metro Manila,14.56538,120.92161,4161.35,23.22,140.83,97.59,24.82,71,Moderate,21.39,70.89,19.93,Dry,6.39,68.89
2026-03-06,SN-003,Pampanga,15.1761,120.59747,1968.57,36.62,44.82,126.62,137.57,86,Moderate,27.58,52.5,35.26,Optimal,6.43,63.47
2026-03-06,SN-004,Bulacan,14.84333,120.84052,2145.65,49.23,263.28,147.92,39.45,124,Unhealthy for Sensitive Groups,32.32,75.65,27.77,Optimal,7.08,89.02
2026-03-06,SN-005,Pampanga,15.16884,120.55406,1924.72,21.92,271.78,81.87,52.9,107,Unhealthy for Sensitive Groups,33.75,58.04,21.56,Optimal,6.86,6.42
2026-03-06,SN-006,Pampanga,15.15867,120.53867,4296.82,101.26,257.8,57.37,85.63,125,Unhealthy for Sensitive Groups,23.53,60.29,18.51,Dry,6.2,54.33
2026-03-06,SN-007,Pampanga,15.16475,120.66711,1293.05,149.98,25.16,102.65,34.67,78,Moderate,38.9,56.32,21.98,Optimal,8.32,58.74
2026-03-06,SN-008,Leyte,11.04576,124.75037,3143.62,133.93,179.09,28.56,89.69,107,Unhealthy for Sensitive Groups,30.83,83.78,51.4,Wet,8.08,46.02
2026-03-06,SN-009,Leyte,10.9368,124.89435,4635.52,156.92,228.03,27.94,142.37,138,Unhealthy for Sensitive Groups,20.95,45.07,27.05,Optimal,8.45,41.98
2026-03-06,SN-010,Cebu,10.28412,123.80402,4640.36,178.56,21.32,145.23,97.88,110,Unhealthy for Sensitive Groups,21.85,94.97,55.45,Wet,8.33,7.81
2026-03-06,SN-011,Iloilo,10.63519,122.61273,2311.67,228.08,82.76,84.54,19.59,103,Unhealthy for Sensitive Groups,23.06,47.09,22.95,Optimal,7.39,90.51
2026-03-06,SN-012,Cebu,10.34147,123.88109,1055.28,76.79,231.16,95.77,138.97,135,Unhealthy for Sensitive Groups,33.7,88.82,29.26,Optimal,7.76,5.18
2026-03-06,SN-013,Leyte,11.04218,124.81838,1480.89,129.05,272.44,190.9,95.55,171,Unhealthy,31.26,53.31,40.87,Wet,8.27,13.57
2026-03-06,SN-014,Iloilo,10.65425,122.63047,1630.0,178.55,172.45,175.08,11.13,134,Unhealthy for Sensitive Groups,36.15,65.71,29.3,Optimal,6.66,97.14
2026-03-06,SN-015,Misamis Oriental,8.42668,124.57912,2328.16,53.74,74.36,137.74,91.47,89,Moderate,34.71,48.16,29.69,Optimal,7.14,0.85
2026-03-06,SN-016,Davao del Sur,7.15227,125.47642,1232.2,232.72,210.84,61.73,87.88,148,Unhealthy for Sensitive Groups,32.99,98.31,14.38,Dry,6.34,18.47
2026-03-06,SN-017,Zamboanga del Sur,7.86636,123.42655,2952.47,64.77,253.38,11.05,124.05,113,Unhealthy for Sensitive Groups,32.6,44.19,24.07,Optimal,7.05,81.57
2026-03-06,SN-018,Misamis Oriental,8.50377,124.61878,3702.6,120.34,52.3,131.88,52.22,89,Moderate,33.26,42.0,54.1,Wet,6.39,40.41
2026-03-06,SN-019,Davao del Sur,7.28627,125.36913,3847.2,189.17,187.46,1.89,33.94,103,Unhealthy for Sensitive Groups,38.38,41.53,10.63,Dry,6.01,95.65
2026-03-06,SN-020,Davao del Sur,7.27648,125.39227,3655.6,1.35,8.27,9.22,61.06,19,Good,20.36,78.59,47.56,Wet,7.86,37.78
2026-03-07,SN-001,Batangas,13.77241,121.02809,1107.2,44.96,47.28,166.51,127.38,96,Moderate,24.13,40.43,23.85,Optimal,8.06,45.15
2026-03-07,SN-002,Metro Manila,14.56538,120.92161,934.19,13.03,183.98,142.48,71.7,102,Unhealthy for Sensitive Groups,30.53,95.69,31.14,Optimal,7.3,17.77
2026-03-07,SN-003,Pampanga,15.1761,120.59747,1325.23,178.07,108.65,38.61,119.28,111,Unhealthy for Sensitive Groups,39.43,48.28,7.4,Dry,7.23,16.25
2026-03-07,SN-004,Bulacan,14.84333,120.84052,4726.31,17.12,78.63,70.43,125.19,72,Moderate,36.46,64.58,52.88,Wet,7.45,47.17
2026-03-07,SN-005,Pampanga,15.16884,120.55406,2799.2,105.09,62.27,36.2,76.07,69,Moderate,33.43,91.66,46.71,Wet,8.41,18.89
2026-03-07,SN-006,Pampanga,15.15867,120.53867,3544.81,7.07,81.04,155.12,24.29,66,Moderate,26.31,76.04,42.39,Wet,6.12,89.82
2026-03-07,SN-007,Pampanga,15.16475,120.66711,3609.98,12.99,57.33,64.5,114.91,62,Moderate,25.45,75.22,24.05,Optimal,7.85,92.37
2026-03-07,SN-008,Leyte,11.04576,124.75037,581.92,235.77,11.16,109.17,70.28,106,Unhealthy for Sensitive Groups,30.49,41.92,19.37,Dry,7.92,68.7
2026-03-07,SN-009,Leyte,10.9368,124.89435,3372.59,209.56,295.89,17.83,58.05,145,Unhealthy for Sensitive Groups,37.39,64.01,40.28,Wet,6.35,94.16
2026-03-07,SN-010,Cebu,10.28412,123.80402,4844.61,135.73,47.28,81.51,110.44,93,Moderate,37.0,79.9,50.07,Wet,7.15,91.12
2026-03-07,SN-011,Iloilo,10.63519,122.61273,1064.26,240.8,74.33,7.52,125.76,112,Unhealthy for Sensitive Groups,30.6,41.85,55.6,Wet,8.01,98.12
2026-03-07,SN-012,Cebu,10.34147,123.88109,2661.52,16.14,160.39,93.7,41.17,77,Moderate,38.74,50.68,52.48,Wet,8.24,81.69
2026-03-07,SN-013,Leyte,11.04218,124.81838,2548.17,21.66,267.64,80.2,104.43,118,Unhealthy for Sensitive Groups,30.42,96.34,37.6,Optimal,7.86,99.08
2026-03-07,SN-014,Iloilo,10.65425,122.63047,3757.47,243.76,146.79,64.88,2.7,114,Unhealthy for Sensitive Groups,28.25,70.43,18.62,Dry,6.94,50.35
2026-03-07,SN-015,Misamis Oriental,8.42668,124.57912,2433.98,92.09,197.85,56.35,92.26,109,Unhealthy for Sensitive Groups,26.31,67.91,20.99,Optimal,7.48,24.97
2026-03-07,SN-016,Davao del Sur,7.15227,125.47642,3487.1,136.22,10.55,66.91,127.6,85,Moderate,27.46,51.33,49.75,Wet,7.56,30.67
2026-03-07,SN-017,Zamboanga del Sur,7.86636,123.42655,929.78,215.62,72.75,145.84,76.68,127,Unhealthy for Sensitive Groups,29.02,51.48,52.75,Wet,6.08,3.24
2026-03-07,SN-018,Misamis Oriental,8.50377,124.61878,2699.1,229.93,26.29,59.71,126.29,110,Unhealthy for Sensitive Groups,28.85,56.38,12.52,Dry,8.31,86.76
2026-03-07,SN-019,Davao del Sur,7.28627,125.36913,1491.81,132.73,139.58,79.07,15.68,91,Moderate,35.81,78.81,55.84,Wet,7.65,33.23
2026-03-07,SN-020,Davao del Sur,7.27648,125.39227,4837.77,70.19,215.77,79.28,87.95,113,Unhealthy for Sensitive Groups,28.68,85.79,29.7,Optimal,8.32,69.16
2026-03-08,SN-001,Batangas,13.77241,121.02809,1684.03,206.66,262.49,110.73,64.37,161,Unhealthy,27.53,77.61,15.97,Dry,7.39,17.2
2026-03-08,SN-002,Metro Manila,14.56538,120.92161,849.27,113.11,288.41,7.03,57.21,116,Unhealthy for Sensitive Groups,37.03,50.44,39.97,Optimal,6.4,12.56
2026-03-08,SN-003,Pampanga,15.1761,120.59747,1022.02,55.25,91.33,137.32,104.78,97,Moderate,32.98,67.05,10.47,Dry,6.46,93.46
2026-03-08,SN-004,Bulacan,14.84333,120.84052,1981.71,93.31,13.3,149.61,46.46,75,Moderate,39.59,44.04,43.97,Wet,8.12,22.25
2026-03-08,SN-005,Pampanga,15.16884,120.55406,3122.37,46.64,87.75,197.36,16.64,87,Moderate,33.25,77.48,27.13,Optimal,8.43,88.27
2026-03-08,SN-006,Pampanga,15.15867,120.53867,2320.89,91.72,73.3,81.27,96.45,85,Moderate,33.68,97.21,9.28,Dry,6.0,18.81
2026-03-08,SN-007,Pampanga,15.16475,120.66711,2200.74,52.67,186.15,2.14,42.13,70,Moderate,21.16,73.56,55.88,Wet,6.86,47.69
2026-03-08,SN-008,Leyte,11.04576,124.75037,1467.5,139.54,135.56,180.87,62.75,129,Unhealthy for Sensitive Groups,28.12,98.92,44.69,Wet,8.12,39.55
2026-03-08,SN-009,Leyte,10.9368,124.89435,822.78,4.6,212.97,190.79,44.35,113,Unhealthy for Sensitive Groups,38.88,63.33,18.07,Dry,6.92,31.18
2026-03-08,SN-010,Cebu,10.28412,123.80402,2510.23,191.94,37.06,63.14,109.82,100,Moderate,25.33,92.99,11.39,Dry,8.18,98.84
2026-03-08,SN-011,Iloilo,10.63519,122.61273,3412.77,67.27,81.25,137.45,123.85,102,Unhealthy for Sensitive Groups,24.16,60.73,32.72,Optimal,7.78,38.58
2026-03-08,SN-012,Cebu,10.34147,123.88109,2513.08,37.1,183.74,1.15,125.31,86,Moderate,31.12,72.5,27.64,Optimal,7.86,70.73
2026-03-08,SN-013,Leyte,11.04218,124.81838,2773.69,121.7,220.4,180.44,12.97,133,Unhealthy for Sensitive Groups,34.15,69.59,18.89,Dry,7.49,46.17
2026-03-08,SN-014,Iloilo,10.65425,122.63047,4756.45,16.65,22.94,79.32,20.36,34,Good,32.76,73.09,8.22,Dry,8.13,57.05
2026-03-08,SN-015,Misamis Oriental,8.42668,124.57912,4314.33,132.6,133.89,128.44,140.8,133,Unhealthy for Sensitive Groups,28.46,46.36,5.4,Dry,8.0,36.47
2026-03-08,SN-016,Davao del Sur,7.15227,125.47642,4209.36,81.81,210.09,176.48,109.34,144,Unhealthy for Sensitive Groups,33.33,85.69,31.42,Optimal,7.43,63.23
2026-03-08,SN-017,Zamboanga del Sur,7.86636,123.42655,2338.36,150.92,160.43,154.39,60.44,131,Unhealthy for Sensitive Groups,38.08,62.71,25.45,Optimal,6.17,10.83
2026-03-08,SN-018,Misamis Oriental,8.50377,124.61878,2554.23,188.87,206.1,68.33,32.18,123,Unhealthy for Sensitive Groups,28.8,92.08,45.23,Wet,8.0,28.58
2026-03-08,SN-019,Davao del Sur,7.28627,125.36913,4502.59,171.66,154.48,103.9,49.39,119,Unhealthy for Sensitive Groups,38.57,83.27,46.29,Wet,6.12,93.74
